"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/chet-holmgren-odds-5697","140","0.0",1.4,"31.8","28.00",NA,NA,NA,"125","0.0",1.25,"34.4","25.00",NA,NA,NA,"130","0.0",1.3,"36.3","26.00",NA,NA,NA,"130","0.0",1.3,"35.2","26.00",NA,NA,NA,"130","0.0",1.3,"35.3","26.00",NA,NA,NA,"130","0.0",1.3,"34.7","26.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","140","0.0",1.4,NA,"28.00",2025-11-27
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/victor-wembanyama-odds-5809","350","0.0",3.5,"17.0","70.00",NA,NA,NA,"370","0.0",3.7,"16.4","74.00",NA,NA,NA,"400","0.0",4,"16.7","80.00",NA,NA,NA,"350","0.0",3.5,"18.0","70.00",NA,NA,NA,"375","0.0",3.75,"17.1","75.00",NA,NA,NA,"300","0.0",3,"19.9","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","400","0.0",4,NA,"80.00",2025-11-27
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/evan-mobley-odds-5355","600","0.0",6,"10.9","120.00",NA,NA,NA,"550","0.0",5.5,"11.9","110.00",NA,NA,NA,"600","0.0",6,"11.9","120.00",NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,"600","0.0",6,"11.4","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","600","0.0",6,NA,"120.00",2025-11-27
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/amen-thompson-odds-5931","800","0.0",8,"8.5","160.00",NA,NA,NA,"900","0.0",9,"7.7","180.00",NA,NA,NA,"900","0.0",9,"8.3","180.00",NA,NA,NA,"950","0.0",9.5,"7.7","190.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"950","0.0",9.5,"7.6","190.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","950","0.0",9.5,NA,"190.00",2025-11-27
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/bam-adebayo-odds-4153","800","0.0",8,"8.5","160.00",NA,NA,NA,"1500","0.0",15,"4.8","300.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,"1500","0.0",15,"5.1","300.00",NA,NA,NA,"1300","0.0",13,"5.7","260.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1600","0.0",16,NA,"320.00",2025-11-27
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/dyson-daniels-odds-5385","1600","0.0",16,"4.5","320.00",NA,NA,NA,"1500","0.0",15,"4.8","300.00",NA,NA,NA,"1400","0.0",14,"5.6","280.00",NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,"1400","0.0",14,"5.4","280.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1600","0.0",16,NA,"320.00",2025-11-27
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/draymond-green-odds-3299","3000","0.0",30,"2.5","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","3500","0.0",35,NA,"700.00",2025-11-27
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/scottie-barnes-odds-5390","3000","0.0",30,"2.5","600.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-11-27
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/ausar-thompson-odds-5932","3000","0.0",30,"2.5","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","4000","0.0",40,NA,"800.00",2025-11-27
"Defensive Player","4808","Luguentz","Dort","Luguentz Dort","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/luguentz-dort-odds-4808","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-11-27
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/rudy-gobert-odds-3440","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-11-27
"Defensive Player","3888","Ivica","Zubac","Ivica Zubac","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=7","/betting/nba/player/ivica-zubac-odds-3888","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-11-27
"Defensive Player","3456","Giannis","Antetokounmpo","Giannis Antetokounmpo","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/giannis-antetokounmpo-odds-3456","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","15000","0.0",150,NA,"3,000.00",2025-11-27
"Defensive Player","4121","OG","Anunoby","OG Anunoby","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7","/betting/nba/player/og-anunoby-odds-4121","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"12500","0.0",125,"0.6","2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2025-11-27
"Defensive Player","5987","Toumani","Camara","Toumani Camara","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/toumani-camara-odds-5987","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-11-27
"Defensive Player","6254","Donovan","Clingan","Donovan Clingan","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/donovan-clingan-odds-6254","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","15000","0.0",150,NA,"3,000.00",2025-11-27
"Defensive Player","4384","Jaren","Jackson","Jaren Jackson","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/jaren-jackson-odds-4384","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2025-11-27
"Defensive Player","5221","Jaden","McDaniels","Jaden McDaniels","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/jaden-mcdaniels-odds-5221","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","20000","0.0",200,NA,"4,000.00",2025-11-27
"Defensive Player","4407","Wendell","Carter","Wendell Carter","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=7","/betting/nba/player/wendell-carter-odds-4407","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-27
