"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/chet-holmgren-odds-5697","125","0.0",1.25,"36.3","25.00",NA,NA,NA,"130","0.0",1.3,"35.0","26.00",NA,NA,NA,"125","0.0",1.25,"36.2","25.00",NA,NA,NA,"130","0.0",1.3,"35.0","26.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","130","0.0",1.3,NA,"26.00",2025-12-01
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/victor-wembanyama-odds-5809","400","0.0",4,"16.3","80.00",NA,NA,NA,"350","0.0",3.5,"17.9","70.00",NA,NA,NA,"400","0.0",4,"16.3","80.00",NA,NA,NA,"350","0.0",3.5,"17.9","70.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","400","0.0",4,NA,"80.00",2025-12-01
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/evan-mobley-odds-5355","600","0.0",6,"11.7","120.00",NA,NA,NA,"600","0.0",6,"11.5","120.00",NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,"600","0.0",6,"11.5","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","600","0.0",6,NA,"120.00",2025-12-01
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/amen-thompson-odds-5931","800","0.0",8,"9.1","160.00",NA,NA,NA,"950","0.0",9.5,"7.7","190.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,"950","0.0",9.5,"7.7","190.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1000","0.0",10,NA,"200.00",2025-12-01
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/bam-adebayo-odds-4153","1500","0.0",15,"5.1","300.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"1500","0.0",15,"5.1","300.00",NA,NA,NA,"1300","0.0",13,"5.7","260.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1600","0.0",16,NA,"320.00",2025-12-01
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/dyson-daniels-odds-5385","1600","0.0",16,"4.8","320.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1600","0.0",16,NA,"320.00",2025-12-01
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/scottie-barnes-odds-5390","3000","0.0",30,"2.6","600.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3300","0.0",33,NA,"660.00",2025-12-01
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/draymond-green-odds-3299","3000","0.0",30,"2.6","600.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","3500","0.0",35,NA,"700.00",2025-12-01
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/ausar-thompson-odds-5932","3500","0.0",35,"2.3","700.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3500","0.0",35,NA,"700.00",2025-12-01
"Defensive Player","4808","Luguentz","Dort","Luguentz Dort","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/luguentz-dort-odds-4808","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-12-01
