"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/chet-holmgren-odds-5697","160","0.0",1.6,"28.8","32.00",NA,NA,NA,"160","0.0",1.6,"31.4","32.00",NA,NA,NA,"145","0.0",1.45,"33.3","29.00",NA,NA,NA,"160","0.0",1.6,"32.1","32.00",NA,NA,NA,"140","0.0",1.4,"33.5","28.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","160","0.0",1.6,NA,"32.00",2025-12-15
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/victor-wembanyama-odds-5809","250","0.0",2.5,"21.4","50.00",NA,NA,NA,"300","0.0",3,"20.4","60.00",NA,NA,NA,"380","0.0",3.8,"17.0","76.00",NA,NA,NA,"300","0.0",3,"20.9","60.00",NA,NA,NA,"300","0.0",3,"20.1","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","380","0.0",3.8,NA,"76.00",2025-12-15
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/bam-adebayo-odds-4153","400","0.0",4,"15.0","80.00",NA,NA,NA,"700","0.0",7,"10.2","140.00",NA,NA,NA,"650","0.0",6.5,"10.9","130.00",NA,NA,NA,"700","0.0",7,"10.4","140.00",NA,NA,NA,"600","0.0",6,"11.5","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","700","0.0",7,NA,"140.00",2025-12-15
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/amen-thompson-odds-5931","1000","0.0",10,"6.8","200.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,"850","0.0",8.5,"8.6","170.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"900","0.0",9,"8.0","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2025-12-15
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/scottie-barnes-odds-5390","2000","0.0",20,"3.6","400.00",NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,"2000","0.0",20,"3.8","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2000","0.0",20,NA,"400.00",2025-12-15
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/evan-mobley-odds-5355","1600","0.0",16,"4.4","320.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2000","0.0",20,"3.8","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2000","0.0",20,NA,"400.00",2025-12-15
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/dyson-daniels-odds-5385","3000","0.0",30,"2.4","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","3000","0.0",30,NA,"600.00",2025-12-15
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/draymond-green-odds-3299","3000","0.0",30,"2.4","600.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2200","0.0",22,"3.5","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","3000","0.0",30,NA,"600.00",2025-12-15
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/ausar-thompson-odds-5932","3000","0.0",30,"2.4","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2025-12-15
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/rudy-gobert-odds-3440","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","6000","0.0",60,NA,"1,200.00",2025-12-15
