"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/chet-holmgren-odds-5697","-150","0.0",0.666666666666667,"45.3","13.33",NA,NA,NA,"-155","0.0",0.645161290322581,"46.1","12.90",NA,NA,NA,"-130","0.0",0.769230769230769,"41.7","15.38",NA,NA,NA,"-140","0.0",0.714285714285714,"46.3","14.29",NA,NA,NA,"-155","0.0",0.645161290322581,"50.3","12.90",NA,NA,NA,"-165","0.0",0.606060606060606,"46.1","12.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","-130","0.0",0.769230769230769,NA,"15.38",2026-01-08
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/rudy-gobert-odds-3440","375","0.0",3.75,"15.9","75.00",NA,NA,NA,"450","0.0",4.5,"13.8","90.00",NA,NA,NA,"450","0.0",4.5,"13.4","90.00",NA,NA,NA,"350","0.0",3.5,"17.6","70.00",NA,NA,NA,"450","0.0",4.5,"15.0","90.00",NA,NA,NA,"400","0.0",4,"14.8","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","450","0.0",4.5,NA,"90.00",2026-01-08
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/victor-wembanyama-odds-5809","1200","0.0",12,"5.8","240.00",NA,NA,NA,"900","0.0",9,"7.6","180.00",NA,NA,NA,"1000","0.0",10,"6.7","200.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000","0.0",10,"6.7","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","1200","0.0",12,NA,"240.00",2026-01-08
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/bam-adebayo-odds-4153","1000","0.0",10,"6.9","200.00",NA,NA,NA,"1200","0.0",12,"5.8","240.00",NA,NA,NA,"900","0.0",9,"7.4","180.00",NA,NA,NA,"1400","0.0",14,"5.3","280.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1000","0.0",10,"6.7","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1400","0.0",14,NA,"280.00",2026-01-08
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/amen-thompson-odds-5931","1400","0.0",14,"5.0","280.00",NA,NA,NA,"1200","0.0",12,"5.8","240.00",NA,NA,NA,"1200","0.0",12,"5.7","240.00",NA,NA,NA,"1400","0.0",14,"5.3","280.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1000","0.0",10,"6.7","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1400","0.0",14,NA,"280.00",2026-01-08
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/scottie-barnes-odds-5390","1800","0.0",18,"4.0","360.00",NA,NA,NA,"2000","0.0",20,"3.6","400.00",NA,NA,NA,"1800","0.0",18,"3.9","360.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2200","0.0",22,"3.2","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2026-01-08
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/evan-mobley-odds-5355","3000","0.0",30,"2.4","600.00",NA,NA,NA,"2800","0.0",28,"2.6","560.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2026-01-08
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=10","/betting/nba/player/draymond-green-odds-3299","4000","0.0",40,"1.8","800.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2026-01-08
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/ausar-thompson-odds-5932","2500","0.0",25,"2.9","500.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2026-01-08
"Defensive Player","5898","Cason","Wallace","Cason Wallace","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/cason-wallace-odds-5898","3000","0.0",30,"2.4","600.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","4000","0.0",40,NA,"800.00",2026-01-08
