"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5697","Chet","Holmgren","Chet Holmgren","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/chet-holmgren-odds-5697","-115","0.0",0.869565217391304,"43.4","17.39",NA,NA,NA,"-105","0.0",0.952380952380952,"41.2","19.05",NA,NA,NA,"120","0.0",1.2,"36.6","24.00",NA,NA,NA,"-115","0.0",0.869565217391304,"44.3","17.39",NA,NA,NA,"-105","0.0",0.952380952380952,"41.0","19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","120","0.0",1.2,NA,"24.00",2026-01-23
"Defensive Player","3440","Rudy","Gobert","Rudy Gobert","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/rudy-gobert-odds-3440","300","0.0",3,"20.3","60.00",NA,NA,NA,"330","0.0",3.3,"18.7","66.00",NA,NA,NA,"300","0.0",3,"20.1","60.00",NA,NA,NA,"320","0.0",3.2,"19.7","64.00",NA,NA,NA,"325","0.0",3.25,"18.8","65.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","330","0.0",3.3,NA,"66.00",2026-01-23
"Defensive Player","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/victor-wembanyama-odds-5809","450","0.0",4.5,"14.7","90.00",NA,NA,NA,"350","0.0",3.5,"17.9","70.00",NA,NA,NA,"275","0.0",2.75,"21.4","55.00",NA,NA,NA,"380","0.0",3.8,"17.3","76.00",NA,NA,NA,"350","0.0",3.5,"17.8","70.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","450","0.0",4.5,NA,"90.00",2026-01-23
"Defensive Player","4153","Bam","Adebayo","Bam Adebayo","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/bam-adebayo-odds-4153","1800","0.0",18,"4.3","360.00",NA,NA,NA,"1800","0.0",18,"4.2","360.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"1750","0.0",17.5,"4.3","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2026-01-23
"Defensive Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/scottie-barnes-odds-5390","4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2026-01-23
"Defensive Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/amen-thompson-odds-5931","2800","0.0",28,"2.8","560.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2800","0.0",28,"2.8","560.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2026-01-23
"Defensive Player","5898","Cason","Wallace","Cason Wallace","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/cason-wallace-odds-5898","4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2026-01-23
"Defensive Player","5355","Evan","Mobley","Evan Mobley","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/evan-mobley-odds-5355","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2026-01-23
"Defensive Player","4195","Derrick","White","Derrick White","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/derrick-white-odds-4195","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","6000","0.0",60,NA,"1,200.00",2026-01-23
"Defensive Player","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2026-01-23
"Defensive Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/ausar-thompson-odds-5932","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2026-01-23
"Defensive Player","4808","Luguentz","Dort","Luguentz Dort","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/luguentz-dort-odds-4808","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-01-23
"Defensive Player","4121","OG","Anunoby","OG Anunoby","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/og-anunoby-odds-4121","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2026-01-23
"Defensive Player","5385","Dyson","Daniels","Dyson Daniels","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/dyson-daniels-odds-5385","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2026-01-23
"Defensive Player","4147","Isaiah","Hartenstein","Isaiah Hartenstein","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/isaiah-hartenstein-odds-4147","30000","0.0",300,"0.3","6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","30000","0.0",300,NA,"6,000.00",2026-01-23
"Defensive Player","4386","Mikal","Bridges","Mikal Bridges","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/mikal-bridges-odds-4386","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","40000","0.0",400,NA,"8,000.00",2026-01-23
"Defensive Player","3299","Draymond","Green","Draymond Green","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=10","/betting/nba/player/draymond-green-odds-3299","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","40000","0.0",400,NA,"8,000.00",2026-01-23
"Defensive Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","5987","Toumani","Camara","Toumani Camara","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/toumani-camara-odds-5987","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","6254","Donovan","Clingan","Donovan Clingan","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/donovan-clingan-odds-6254","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/cooper-flagg-odds-6548","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","4387","Shai","Gilgeous-Alexander","Shai Gilgeous-Alexander","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/shai-gilgeous-alexander-odds-4387","30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","5339","Jay","Huff","Jay Huff","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=10","/betting/nba/player/jay-huff-odds-5339",NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","4384","Jaren","Jackson","Jaren Jackson","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/jaren-jackson-odds-4384","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","5221","Jaden","McDaniels","Jaden McDaniels","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/jaden-mcdaniels-odds-5221","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-01-23
"Defensive Player","6240","Alex","Sarr","Alex Sarr","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=10","/betting/nba/player/alex-sarr-odds-6240","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-01-23
